id_user,first_name,last_name,kesalahan_analogi_verbal,kesalahan_silogisme,kesalahan_analitis,kesalahan_berhitung,kesalahan_deret_angka,kesalahan_perbandingan_kuantitatif,kesalahan_soal_cerita,kesalahan_analogi_figural,kesalahan_ketidaksamaan,kesalahan_serial,kesalahan_nasionalisme,kesalahan_integritas,kesalahan_bela_negara,kesalahan_pilar_negara,kesalahan_bahasa_indonesia,skor_pelayanan_publik,skor_jejaring_kerja,skor_sosial_budaya,skor_tik,skor_profesionalisme,skor_anti_radikalisme,total_kesalahan_tiu,total_kesalahan_twk,total_skor_tkp,label_tiu,label_twk,label_tkp
12,Putra,Hidayat,0,3,0,1,2,3,4,0,0,0,1,2,3,4,4,31,23,33,25,29,35,13,14,176,Tinggi,Sedang,Sedang
13,Lina,Santoso,3,2,1,0,2,3,4,4,1,3,1,1,5,3,5,9,2,2,35,25,11,23,15,84,Rendah,Sedang,Rendah
14,Agus,Hidayat,3,1,0,2,3,3,3,4,0,3,6,3,3,4,5,34,12,13,20,33,21,22,21,133,Rendah,Rendah,Rendah
15,Putra,Santoso,1,0,1,3,1,2,1,3,4,0,3,2,2,4,3,2,14,29,19,32,14,16,14,110,Sedang,Sedang,Rendah
16,Joko,Lestari,0,0,1,1,0,2,1,4,2,2,0,2,5,5,2,35,12,13,32,16,36,13,14,144,Tinggi,Sedang,Rendah
17,Sari,Hidayat,3,1,0,0,2,2,1,3,1,4,1,6,2,6,4,4,27,12,8,35,24,17,19,110,Sedang,Rendah,Rendah
18,Dewi,Wibowo,1,0,2,3,3,4,0,0,3,0,2,6,2,3,4,6,25,31,2,12,22,16,17,98,Sedang,Sedang,Rendah
19,Agus,Lestari,1,2,3,2,3,4,1,0,2,3,4,0,3,6,6,16,9,35,33,33,2,21,19,128,Rendah,Rendah,Rendah
20,Dewi,Santoso,3,1,3,0,2,3,2,3,2,3,2,6,0,3,5,1,15,10,26,40,10,22,16,102,Rendah,Sedang,Rendah
21,Sari,Lestari,0,2,1,3,3,0,0,2,1,1,2,3,3,1,6,26,25,7,7,11,31,13,15,107,Tinggi,Sedang,Rendah
22,Lina,Wibowo,1,3,0,3,0,3,4,4,4,4,4,6,0,6,1,35,5,14,5,30,8,26,17,97,Rendah,Sedang,Rendah
23,Hadi,Siregar,1,1,2,1,1,4,2,2,0,1,1,6,2,4,0,23,35,3,28,14,3,15,13,106,Tinggi,Tinggi,Rendah
24,Agus,Siregar,1,1,0,3,2,4,2,0,0,0,4,5,4,2,6,29,7,11,24,13,32,13,21,116,Tinggi,Rendah,Rendah
25,Rina,Hidayat,0,1,1,3,0,0,1,3,3,0,4,4,1,0,5,3,23,26,11,13,38,12,14,114,Tinggi,Sedang,Rendah
26,Lina,Hidayat,2,2,0,1,1,1,0,3,3,2,6,4,0,0,0,24,10,28,4,2,32,15,10,100,Tinggi,Tinggi,Rendah
27,Rina,Siregar,1,0,0,1,0,2,4,4,3,1,4,2,2,3,0,5,6,12,38,11,35,16,11,107,Sedang,Tinggi,Rendah
28,Hadi,Hidayat,0,1,2,3,0,3,3,4,0,3,5,2,6,5,0,33,17,16,39,9,4,19,18,118,Sedang,Rendah,Rendah
29,Rina,Lestari,0,1,1,2,1,1,2,3,1,2,5,6,4,0,4,9,14,21,24,23,29,14,19,120,Tinggi,Rendah,Rendah
30,Lina,Wibowo,2,3,1,2,0,3,0,0,2,3,2,0,1,5,6,7,3,27,26,23,35,16,14,121,Sedang,Sedang,Rendah
31,Dewi,Hidayat,0,1,2,0,3,0,0,1,3,0,2,2,2,6,6,3,31,16,11,9,11,10,18,81,Tinggi,Rendah,Rendah
32,Joko,Lestari,3,3,2,3,0,0,3,3,3,2,3,4,3,1,3,10,1,27,12,14,37,22,14,101,Rendah,Sedang,Rendah
33,Rina,Siregar,3,0,1,2,3,0,1,1,2,0,2,0,6,2,2,24,11,15,28,11,12,13,12,101,Tinggi,Tinggi,Rendah
34,Lina,Lestari,3,0,3,0,0,1,2,1,3,2,1,5,6,2,5,30,21,25,20,38,20,15,19,154,Tinggi,Rendah,Rendah
35,Sari,Santoso,1,2,1,0,3,0,1,0,3,0,6,0,2,6,6,8,24,12,7,35,4,11,20,90,Tinggi,Rendah,Rendah
36,Budi,Lestari,1,2,0,2,3,2,2,2,3,0,3,1,1,0,6,26,19,26,2,23,16,17,11,112,Sedang,Tinggi,Rendah
37,Agus,Hidayat,1,3,0,2,1,1,0,3,0,2,1,6,2,6,1,5,23,13,29,35,22,13,16,127,Tinggi,Sedang,Rendah
38,Agus,Siregar,2,2,0,0,2,3,3,2,1,2,2,0,5,4,2,15,12,23,8,40,23,17,13,121,Sedang,Tinggi,Rendah
39,Siti,Santoso,1,0,3,0,2,4,4,2,1,1,2,2,3,5,6,12,30,26,30,30,17,18,18,145,Sedang,Rendah,Rendah
40,Budi,Wibowo,1,2,0,2,0,1,1,2,0,2,1,1,3,5,2,6,31,13,34,3,6,11,12,93,Tinggi,Tinggi,Rendah
41,Hadi,Siregar,2,0,0,1,3,2,3,2,1,4,4,3,2,6,2,26,1,13,8,30,27,18,17,105,Sedang,Sedang,Rendah
42,Sari,Wibowo,3,1,2,2,3,1,3,1,1,0,3,0,1,6,0,25,4,17,19,26,22,17,10,113,Sedang,Tinggi,Rendah
43,Siti,Wibowo,3,1,2,0,3,0,4,1,0,2,6,6,5,5,3,24,11,24,19,24,14,16,25,116,Sedang,Rendah,Rendah
44,Putra,Santoso,0,3,1,1,3,4,4,2,2,3,1,2,1,1,1,15,32,28,25,37,3,23,6,140,Rendah,Tinggi,Rendah
45,Sari,Wibowo,0,2,3,0,0,0,0,4,2,0,2,6,1,3,4,22,24,24,26,24,11,11,16,131,Tinggi,Sedang,Rendah
46,Dewi,Santoso,0,2,0,2,2,2,0,0,3,1,2,0,6,2,2,24,19,11,32,22,19,12,12,127,Tinggi,Tinggi,Rendah
47,Putra,Hidayat,2,2,0,0,3,4,2,0,0,3,1,2,3,6,6,26,27,28,31,27,12,16,18,151,Sedang,Rendah,Rendah
48,Siti,Hidayat,3,2,2,1,1,4,3,3,2,1,6,2,0,6,1,16,14,23,11,7,17,22,15,88,Rendah,Sedang,Rendah
49,Agus,Siregar,3,1,3,1,2,3,4,1,3,3,0,4,4,5,3,4,21,33,15,29,3,24,16,105,Rendah,Sedang,Rendah
50,Budi,Siregar,3,3,3,0,1,2,4,0,2,2,4,3,3,3,5,10,32,17,35,35,24,20,18,153,Rendah,Rendah,Rendah
51,Siti,Hidayat,0,0,3,2,0,0,4,0,2,2,2,0,0,3,5,34,33,15,16,38,19,13,10,155,Tinggi,Tinggi,Rendah
52,Rina,Hidayat,1,0,1,1,3,4,1,3,2,3,5,6,4,4,0,30,16,24,7,13,38,19,19,128,Sedang,Rendah,Rendah
53,Dewi,Lestari,2,1,3,1,0,1,4,4,4,2,0,0,3,6,4,8,10,27,35,11,33,22,13,124,Rendah,Tinggi,Rendah
54,Joko,Siregar,2,3,1,3,2,1,0,3,3,1,2,3,3,5,2,20,26,31,9,4,3,19,15,93,Sedang,Sedang,Rendah
55,Siti,Wibowo,0,1,2,0,0,2,2,2,2,4,6,5,2,6,6,19,23,21,9,37,6,15,25,115,Tinggi,Rendah,Rendah
56,Budi,Siregar,1,0,3,1,1,0,0,4,0,1,2,3,4,5,0,15,3,34,33,23,29,11,14,137,Tinggi,Sedang,Rendah
57,Agus,Santoso,1,0,1,1,2,2,1,3,1,1,3,3,0,6,1,33,35,17,18,27,37,13,13,167,Tinggi,Tinggi,Sedang
58,Siti,Hidayat,3,3,1,0,3,2,0,2,3,4,0,3,0,3,4,6,22,21,28,4,22,21,10,103,Rendah,Tinggi,Rendah
59,Putra,Lestari,2,2,3,0,0,4,3,3,1,0,5,0,6,4,2,29,11,2,20,6,10,18,17,78,Sedang,Sedang,Rendah
60,Rina,Lestari,2,2,1,0,0,2,2,3,2,4,2,1,1,4,3,27,7,25,34,3,16,18,11,112,Sedang,Tinggi,Rendah
61,Dewi,Wibowo,1,0,1,2,1,0,0,3,4,0,2,5,5,4,5,1,14,5,2,39,38,12,21,99,Tinggi,Rendah,Rendah
62,Rina,Lestari,0,0,1,1,0,0,4,0,1,4,6,0,0,6,5,5,33,15,18,2,25,11,17,98,Tinggi,Sedang,Rendah
63,Rina,Hidayat,2,1,3,1,3,0,2,3,1,3,6,1,2,4,2,33,28,34,23,33,29,19,15,180,Sedang,Sedang,Sedang
64,Rina,Wibowo,2,0,2,0,2,2,3,4,4,2,4,5,5,6,1,13,22,20,30,17,30,21,21,132,Rendah,Rendah,Rendah
65,Hadi,Wibowo,1,3,1,0,1,0,4,3,3,1,4,5,0,6,1,8,24,12,31,32,15,17,16,122,Sedang,Sedang,Rendah
66,Sari,Wibowo,2,0,1,0,0,2,3,4,4,1,1,5,5,5,2,17,25,4,9,29,33,17,18,117,Sedang,Rendah,Rendah
67,Siti,Lestari,1,3,3,3,1,2,2,1,3,0,0,2,2,4,1,10,29,27,40,17,22,19,9,145,Sedang,Tinggi,Rendah
68,Agus,Wibowo,0,3,0,0,2,0,2,3,2,3,0,6,2,3,2,20,21,35,4,2,31,15,13,113,Tinggi,Tinggi,Rendah
69,Agus,Wibowo,3,1,0,3,3,2,1,3,4,4,0,2,0,2,2,17,31,11,11,9,37,24,6,116,Rendah,Tinggi,Rendah
70,Dewi,Siregar,2,0,2,0,3,3,3,2,2,2,3,4,1,6,0,26,19,25,27,24,1,19,14,122,Sedang,Sedang,Rendah
71,Rina,Wibowo,0,3,0,3,3,0,1,4,0,3,1,0,0,5,6,9,19,17,6,23,24,17,12,98,Sedang,Tinggi,Rendah
72,Putra,Siregar,2,2,3,0,3,4,2,3,1,3,5,1,4,0,5,27,7,32,23,2,9,23,15,100,Rendah,Sedang,Rendah
73,Putra,Hidayat,3,0,3,0,3,3,2,1,3,2,3,0,1,2,2,12,33,29,16,21,5,20,8,116,Rendah,Tinggi,Rendah
74,Lina,Santoso,1,3,2,2,3,4,2,3,1,2,2,1,0,5,3,10,11,30,31,1,23,23,11,106,Rendah,Tinggi,Rendah
75,Rina,Lestari,1,0,1,0,1,0,3,3,2,1,6,0,3,4,6,12,20,19,7,32,26,12,19,116,Tinggi,Rendah,Rendah
76,Hadi,Hidayat,0,1,2,2,3,4,3,0,0,1,3,3,0,0,6,8,29,17,13,10,2,16,12,79,Sedang,Tinggi,Rendah
77,Siti,Lestari,3,2,3,1,1,3,1,1,4,4,1,2,0,0,0,34,15,12,14,15,37,23,3,127,Rendah,Tinggi,Rendah
78,Agus,Wibowo,0,3,1,0,0,0,2,4,1,4,4,1,5,4,3,12,31,23,7,25,6,15,17,104,Tinggi,Sedang,Rendah
79,Siti,Wibowo,0,1,3,3,1,0,0,0,3,0,4,5,3,6,1,12,9,32,8,10,38,11,19,109,Tinggi,Rendah,Rendah
80,Putra,Wibowo,2,1,2,2,1,1,0,0,0,2,3,1,4,4,6,7,34,16,13,40,7,11,18,117,Tinggi,Rendah,Rendah
81,Agus,Siregar,0,1,0,0,2,0,4,3,2,3,4,0,1,5,4,15,33,25,1,40,11,15,14,125,Tinggi,Sedang,Rendah
82,Rina,Santoso,1,3,1,1,0,1,4,3,1,4,3,2,4,2,3,22,32,17,13,17,14,19,14,115,Sedang,Sedang,Rendah
83,Sari,Wibowo,1,0,1,3,0,2,3,1,1,2,2,1,3,1,1,19,7,23,5,34,15,14,8,103,Tinggi,Tinggi,Rendah
84,Lina,Wibowo,2,0,1,1,0,3,4,4,0,0,3,1,0,3,5,26,17,10,6,5,40,15,12,104,Tinggi,Tinggi,Rendah
85,Rina,Santoso,1,0,3,2,2,1,4,0,0,1,4,1,1,4,2,22,9,18,19,32,26,14,12,126,Tinggi,Tinggi,Rendah
86,Budi,Lestari,0,2,3,1,0,2,3,4,4,0,5,6,0,5,4,23,18,24,32,39,7,19,20,143,Sedang,Rendah,Rendah
87,Sari,Siregar,0,1,1,3,1,0,4,2,3,0,1,6,6,6,1,27,29,14,24,7,7,15,20,108,Tinggi,Rendah,Rendah
88,Lina,Siregar,0,1,3,2,2,4,1,2,1,0,0,3,4,5,0,9,16,8,29,28,39,16,12,129,Sedang,Tinggi,Rendah
89,Putra,Hidayat,2,1,2,0,2,4,1,0,4,2,6,2,5,5,6,5,33,20,13,4,13,18,24,88,Sedang,Rendah,Rendah
90,Siti,Wibowo,1,0,0,1,0,4,2,0,0,4,1,6,2,4,1,23,10,22,3,22,22,12,14,102,Tinggi,Sedang,Rendah
91,Rina,Wibowo,3,2,1,0,2,4,2,0,0,4,3,3,0,3,3,28,25,23,30,5,26,18,12,137,Sedang,Tinggi,Rendah
92,Putra,Lestari,1,3,3,1,0,2,0,4,0,2,4,3,4,3,4,35,15,3,35,17,14,16,18,119,Sedang,Rendah,Rendah
93,Dewi,Hidayat,0,3,0,0,0,1,1,4,1,1,5,6,5,1,0,25,18,34,10,9,35,11,17,131,Tinggi,Sedang,Rendah
94,Dewi,Lestari,0,3,3,3,2,4,3,1,2,1,6,3,6,2,0,4,23,21,34,7,4,22,17,93,Rendah,Sedang,Rendah
95,Siti,Lestari,0,1,2,0,0,4,3,2,4,4,1,6,4,3,3,9,27,30,34,3,33,20,17,136,Rendah,Sedang,Rendah
96,Sari,Wibowo,1,1,1,2,2,0,2,1,1,3,3,4,5,4,0,18,29,16,18,1,7,14,16,89,Tinggi,Sedang,Rendah
97,Sari,Santoso,0,0,0,1,2,2,4,1,2,0,2,0,6,1,6,5,30,34,39,14,14,12,15,136,Tinggi,Sedang,Rendah
98,Agus,Santoso,2,0,1,3,2,1,1,2,3,4,6,1,2,0,1,14,8,24,30,26,36,19,10,138,Sedang,Tinggi,Rendah
99,Agus,Santoso,0,1,0,2,3,2,3,3,3,3,2,3,6,4,4,6,10,22,36,22,2,20,19,98,Rendah,Rendah,Rendah
100,Lina,Santoso,3,1,2,2,1,0,3,4,0,1,2,3,3,0,0,6,22,14,28,2,36,17,8,108,Sedang,Tinggi,Rendah
101,Budi,Siregar,3,3,1,1,1,1,1,2,4,2,6,5,1,5,3,17,18,29,28,7,11,19,20,110,Sedang,Rendah,Rendah
102,Siti,Lestari,0,0,3,1,2,2,1,3,2,4,6,5,1,3,3,14,2,14,3,32,22,18,18,87,Sedang,Rendah,Rendah
103,Siti,Hidayat,0,1,1,0,0,0,3,2,2,0,2,2,4,2,6,29,15,12,8,29,40,9,16,133,Tinggi,Sedang,Rendah
104,Putra,Lestari,2,2,2,3,3,0,2,1,3,3,2,5,3,2,1,25,32,12,10,25,14,21,13,118,Rendah,Tinggi,Rendah
105,Hadi,Santoso,3,3,1,0,1,2,2,0,0,0,5,0,2,0,6,31,23,4,38,17,36,12,13,149,Tinggi,Tinggi,Rendah
106,Siti,Siregar,0,0,0,1,0,0,0,1,4,2,1,5,3,5,0,5,17,18,20,31,26,8,14,117,Tinggi,Sedang,Rendah
107,Joko,Wibowo,0,3,2,0,2,3,1,3,4,1,4,3,1,0,3,22,35,35,5,6,25,19,11,128,Sedang,Tinggi,Rendah
108,Dewi,Hidayat,2,0,1,2,1,2,0,0,2,2,4,4,6,1,0,2,30,24,21,18,4,12,15,99,Tinggi,Sedang,Rendah
109,Lina,Santoso,0,3,0,2,1,2,1,3,1,1,3,2,1,3,5,32,14,7,33,13,20,14,14,119,Tinggi,Sedang,Rendah
110,Joko,Lestari,3,2,3,0,0,0,4,2,4,0,1,3,5,2,5,30,15,8,20,17,9,18,16,99,Sedang,Sedang,Rendah
111,Joko,Lestari,0,2,2,3,1,0,3,3,0,4,1,0,0,4,4,16,33,15,33,15,3,18,9,115,Sedang,Tinggi,Rendah
112,Joko,Wibowo,1,1,1,3,0,3,1,4,1,3,3,3,6,3,5,34,32,6,3,21,16,18,20,112,Sedang,Rendah,Rendah
113,Joko,Siregar,1,3,1,0,2,1,0,4,2,1,2,5,6,6,5,1,7,32,6,23,20,15,24,89,Tinggi,Rendah,Rendah
114,Dewi,Wibowo,2,0,0,1,0,2,4,4,4,4,1,5,1,0,2,15,32,13,3,5,8,21,9,76,Rendah,Tinggi,Rendah
115,Lina,Siregar,0,1,1,1,1,2,2,4,2,0,4,3,0,4,2,31,5,27,37,1,20,14,13,121,Tinggi,Tinggi,Rendah
116,Putra,Siregar,2,3,1,2,1,1,3,3,3,4,2,0,5,5,2,18,10,27,19,38,27,23,14,139,Rendah,Sedang,Rendah
117,Joko,Siregar,0,3,2,0,1,3,1,4,4,0,0,4,5,0,2,32,32,5,5,3,7,18,11,84,Sedang,Tinggi,Rendah
118,Siti,Hidayat,1,1,0,0,3,3,2,0,4,0,5,6,3,3,5,29,11,19,2,19,9,14,22,89,Tinggi,Rendah,Rendah
119,Joko,Wibowo,3,3,3,1,0,4,1,0,1,3,6,0,6,1,3,24,22,6,32,21,34,19,16,139,Sedang,Sedang,Rendah
120,Hadi,Lestari,2,1,0,2,0,4,0,2,4,2,5,0,0,0,1,18,17,28,35,39,15,17,6,152,Sedang,Tinggi,Rendah
121,Dewi,Wibowo,3,1,3,1,0,4,3,2,1,1,1,0,1,4,3,13,24,2,37,6,10,19,9,92,Sedang,Tinggi,Rendah
122,Lina,Wibowo,0,0,1,1,3,2,2,3,3,1,1,6,5,2,5,5,15,5,8,7,21,16,19,61,Sedang,Rendah,Rendah
123,Budi,Wibowo,0,0,1,2,2,4,2,0,0,0,1,3,4,0,0,15,9,2,28,2,28,11,8,84,Tinggi,Tinggi,Rendah
124,Agus,Hidayat,0,3,2,2,2,1,4,1,4,1,5,3,2,4,4,22,27,24,22,39,13,20,18,147,Rendah,Rendah,Rendah
125,Siti,Santoso,2,3,1,1,2,3,0,1,0,3,3,3,2,4,4,27,7,24,27,6,1,16,16,92,Sedang,Sedang,Rendah
126,Sari,Santoso,3,2,3,3,1,1,2,0,2,1,5,2,6,4,2,3,28,17,25,16,38,18,19,127,Sedang,Rendah,Rendah
127,Hadi,Siregar,3,2,0,1,0,2,2,0,0,4,0,6,4,3,4,22,23,18,6,18,24,14,17,111,Tinggi,Sedang,Rendah
128,Lina,Wibowo,2,2,3,2,1,4,0,4,0,1,5,2,6,1,6,10,15,18,27,7,29,19,20,106,Sedang,Rendah,Rendah
129,Sari,Wibowo,0,2,3,0,1,2,4,1,2,1,2,2,2,1,1,15,16,22,9,22,7,16,8,91,Sedang,Tinggi,Rendah
130,Budi,Santoso,0,1,2,2,0,1,0,2,0,4,5,6,0,2,5,14,20,18,15,10,37,12,18,114,Tinggi,Rendah,Rendah
131,Lina,Wibowo,2,2,0,2,1,0,0,0,0,4,1,2,6,1,2,24,12,3,13,15,8,11,12,75,Tinggi,Tinggi,Rendah
132,Lina,Hidayat,2,3,2,2,2,4,4,2,4,4,6,6,0,4,4,4,24,21,8,12,25,29,20,94,Rendah,Rendah,Rendah
133,Dewi,Santoso,2,1,0,1,0,4,3,0,2,2,6,5,5,6,2,22,21,19,33,26,26,15,24,147,Tinggi,Rendah,Rendah
134,Sari,Siregar,1,2,1,3,1,0,2,0,2,3,2,5,3,1,5,32,30,28,33,10,27,15,16,160,Tinggi,Sedang,Rendah
135,Lina,Siregar,1,2,1,0,3,2,1,3,1,4,3,3,0,4,3,33,14,15,11,18,34,18,13,125,Sedang,Tinggi,Rendah
136,Agus,Santoso,1,0,0,1,3,0,0,0,3,1,1,6,3,0,4,31,35,31,21,40,15,9,14,173,Tinggi,Sedang,Sedang
137,Sari,Santoso,0,2,2,2,1,0,1,3,0,2,0,3,1,0,3,21,19,15,4,25,20,13,7,104,Tinggi,Tinggi,Rendah
138,Sari,Siregar,0,3,2,1,2,4,4,0,1,1,2,1,2,5,2,22,19,4,25,5,20,18,12,95,Sedang,Tinggi,Rendah
139,Siti,Lestari,2,2,1,3,1,4,0,3,4,0,3,2,5,6,4,12,4,8,27,13,28,20,20,92,Rendah,Rendah,Rendah
140,Sari,Hidayat,2,0,1,0,0,3,1,3,3,4,0,6,4,3,5,16,21,17,16,3,35,17,18,108,Sedang,Rendah,Rendah
141,Rina,Santoso,1,1,1,1,2,3,2,3,0,1,0,1,3,5,0,4,28,9,26,36,26,15,9,129,Tinggi,Tinggi,Rendah
142,Hadi,Siregar,2,2,2,0,1,3,0,0,0,1,6,6,4,4,2,16,11,5,10,19,34,11,22,95,Tinggi,Rendah,Rendah
143,Rina,Santoso,2,2,0,2,3,1,3,2,0,2,2,1,1,6,2,13,3,8,15,21,34,17,12,94,Sedang,Tinggi,Rendah
144,Putra,Siregar,2,2,0,2,2,2,0,3,3,4,4,0,1,2,3,25,19,31,33,21,26,20,10,155,Rendah,Tinggi,Rendah
145,Rina,Hidayat,1,1,3,2,3,0,4,3,1,3,3,4,5,1,1,16,18,23,13,32,12,21,14,114,Rendah,Sedang,Rendah
146,Rina,Hidayat,2,1,1,1,3,0,4,0,1,4,4,3,1,1,2,21,4,10,3,40,20,17,11,98,Sedang,Tinggi,Rendah
147,Agus,Siregar,0,2,1,1,0,4,4,3,1,3,6,0,6,4,4,4,6,31,36,39,3,19,20,119,Sedang,Rendah,Rendah
148,Agus,Lestari,0,3,3,0,3,2,3,3,0,2,0,5,1,3,2,16,34,9,29,11,10,19,11,109,Sedang,Tinggi,Rendah
149,Hadi,Lestari,0,3,0,0,3,4,1,0,1,1,1,0,3,0,4,25,20,13,12,31,34,13,8,135,Tinggi,Tinggi,Rendah
150,Rina,Santoso,1,3,2,1,0,0,1,0,4,1,6,4,4,5,5,19,16,24,17,11,37,13,24,124,Tinggi,Rendah,Rendah
151,Sari,Siregar,3,3,2,3,1,2,2,1,1,3,0,5,1,6,1,28,30,35,24,37,40,21,13,194,Rendah,Tinggi,Tinggi
152,Agus,Santoso,1,2,3,1,2,0,1,2,2,1,0,6,0,2,5,9,35,14,13,12,15,15,13,98,Tinggi,Tinggi,Rendah
153,Siti,Santoso,1,0,3,3,2,3,4,0,3,0,2,4,6,1,6,6,17,5,28,10,12,19,19,78,Sedang,Rendah,Rendah
154,Siti,Santoso,2,3,3,1,1,0,4,4,1,2,5,4,3,2,3,13,6,26,7,24,19,21,17,95,Rendah,Sedang,Rendah
155,Hadi,Lestari,0,1,3,1,2,2,4,0,0,2,3,1,0,0,4,11,22,23,36,37,8,15,8,137,Tinggi,Tinggi,Rendah
156,Budi,Wibowo,2,3,0,3,1,0,1,4,2,1,5,5,0,4,5,23,8,4,26,25,40,17,19,126,Sedang,Rendah,Rendah
157,Agus,Hidayat,2,3,1,3,3,2,3,2,3,1,2,6,3,6,2,8,16,15,33,28,30,23,19,130,Rendah,Rendah,Rendah
158,Dewi,Lestari,0,3,1,3,2,1,4,2,1,1,0,0,0,2,1,18,13,13,17,27,30,18,3,118,Sedang,Tinggi,Rendah
159,Rina,Santoso,0,2,3,3,1,3,3,0,2,3,0,3,2,3,4,14,27,13,28,6,28,20,12,116,Rendah,Tinggi,Rendah
160,Agus,Santoso,2,2,3,3,3,0,0,4,2,2,4,6,5,5,3,27,19,24,14,4,9,21,23,97,Rendah,Rendah,Rendah
161,Rina,Wibowo,1,0,1,1,0,3,2,4,2,1,6,4,5,6,0,24,32,33,1,11,4,15,21,105,Tinggi,Rendah,Rendah
162,Dewi,Siregar,0,2,3,0,2,1,4,4,4,4,6,2,1,1,6,11,17,19,12,3,8,24,16,70,Rendah,Sedang,Rendah
163,Joko,Hidayat,1,1,2,0,3,4,3,1,4,3,0,2,2,0,0,28,15,30,18,4,30,22,4,125,Rendah,Tinggi,Rendah
164,Hadi,Lestari,0,2,1,1,1,3,3,0,2,1,1,3,3,0,2,16,3,5,34,11,16,14,9,85,Tinggi,Tinggi,Rendah
165,Joko,Hidayat,0,0,3,2,1,1,3,3,4,2,4,4,2,0,3,29,28,35,13,18,15,19,13,138,Sedang,Tinggi,Rendah
166,Sari,Lestari,2,0,0,2,2,2,3,3,0,0,6,5,4,2,0,2,10,24,15,26,20,14,17,97,Tinggi,Sedang,Rendah
167,Sari,Wibowo,0,3,0,3,3,4,0,0,3,0,4,4,2,0,5,33,21,27,12,30,15,16,15,138,Sedang,Sedang,Rendah
168,Sari,Wibowo,1,2,2,3,3,3,1,3,2,2,1,0,2,4,1,24,8,21,16,20,30,22,8,119,Rendah,Tinggi,Rendah
169,Hadi,Lestari,0,0,0,2,0,3,3,2,2,1,2,1,2,6,6,14,24,4,33,24,23,13,17,122,Tinggi,Sedang,Rendah
170,Budi,Lestari,0,1,0,3,2,2,0,2,1,0,0,2,5,3,2,31,10,26,23,30,34,11,12,154,Tinggi,Tinggi,Rendah
171,Rina,Lestari,0,3,1,3,3,1,0,4,1,0,4,6,5,5,5,19,14,13,20,28,16,16,25,110,Sedang,Rendah,Rendah
172,Budi,Lestari,3,1,1,3,2,1,2,0,2,2,2,0,6,1,4,16,19,19,4,40,27,17,13,125,Sedang,Tinggi,Rendah
173,Rina,Lestari,3,1,0,1,1,2,0,3,3,3,4,3,4,6,5,29,3,18,11,20,36,17,22,117,Sedang,Rendah,Rendah
174,Putra,Lestari,3,1,0,0,2,2,0,4,2,2,6,0,4,1,2,21,14,21,33,26,40,16,13,155,Sedang,Tinggi,Rendah
175,Siti,Santoso,1,1,2,3,3,2,1,2,2,1,1,6,3,0,2,3,9,34,33,24,34,18,12,137,Sedang,Tinggi,Rendah
176,Budi,Santoso,3,3,2,0,2,0,2,4,1,0,0,6,1,0,2,21,17,6,18,32,23,17,9,117,Sedang,Tinggi,Rendah
177,Hadi,Santoso,2,0,3,0,3,4,4,0,0,2,1,1,3,2,6,12,7,24,20,30,27,18,13,120,Sedang,Tinggi,Rendah
